PU_ZONE,DO_ZONE,TRIPS,AVG_TICKET,TOTAL_REVENUE
Upper East Side South,Upper East Side North,4284312,10.09,43229707.97
Upper East Side North,Upper East Side South,3661476,11.03,40376718.47
Upper East Side North,Upper East Side North,3418818,8.35,28535457.24
Upper East Side South,Upper East Side South,3255592,8.86,28836602.2
Upper West Side South,Upper West Side North,1932930,8.73,16865842.32
Upper West Side South,Lincoln Square East,1918577,9.26,17768839.37
Upper East Side South,Midtown East,1845687,10.47,19324341.52
Upper East Side South,Midtown Center,1831826,11.84,21695931.6
Lincoln Square East,Upper West Side South,1825825,9.7,17703694.86
Midtown Center,Upper East Side South,1739202,11.39,19811346.73
Upper West Side North,Upper West Side South,1669674,8.7,14533408.67
Lenox Hill West,Upper East Side North,1638483,9.91,16245238.99
Penn Station/Madison Sq West,Times Sq/Theatre District,1595370,12.18,19426474.18
Penn Station/Madison Sq West,Midtown Center,1592700,12.87,20493679.83
Times Sq/Theatre District,Penn Station/Madison Sq West,1478026,10.53,15568347.88
Upper East Side South,Lenox Hill West,1465236,9.05,13267334.36
Clinton East,Clinton East,1462290,9.77,14292729.56
Gramercy,Murray Hill,1459983,10.14,14808190.23
Lenox Hill West,Upper East Side South,1417571,9.62,13634659.9
Yorkville West,Upper East Side North,1414953,8.39,11868003.75
